Point ID,SegFac Code,CI Survey Name,Start Date,Station Number,Original Station Number,GIS Processed Chainage (ft), CIS ON/OFF Inspection Date/Time, CIS Static Inspection Date/Time,Native Start Date,CIS Structure P/S Uncompensated,CIS Structure IRF Uncompensated,CIS Structure P/S,CIS Structure IRF,CIS Native P/S,CIS Structure P/S Reading Date/Time,CIS Structure IRF Reading Date/Time,CIS Structure Static  Reading Date/Time,Plot This Point,Is Gps Time,Latitude,Longitude,Survey Remarks,Series,Surveyor,Vendor,Allegro Survey Cycle On Time,Allegro Survey Cycle Off Time,Survey Purpose,Survey Type,Survey Interval
1,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+17.97,0+05,,7/20/2021 11:41:31 AM,,,,,-1.671,-1.089,,7/20/2021 11:41:31 AM,7/20/2021 11:41:32 AM,,TRUE,True,41.06453323,-79.28294373,"(Line/casing: Struct P/S -1.656V IRF -1.095V, Casing P/S -1.632V IRF -1.086V)",134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
2,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+18.35,0+00,,7/20/2021 11:38:15 AM,,,,,-1.674,-1.086,,7/20/2021 11:38:15 AM,7/20/2021 11:38:16 AM,,FALSE,True,41.06454086,-79.28294373,ST SVY MP0 ST TIME 1128 HEADING N,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
3,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+24.31,0+10,,7/20/2021 11:43:07 AM,,,,,-1.662,-1.053,,7/20/2021 11:43:07 AM,7/20/2021 11:43:04 AM,,True,True,41.06453323,-79.28292084,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
4,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+26.42,0+15,,7/20/2021 11:43:07 AM,,,,,-1.662,-1.095,,7/20/2021 11:43:07 AM,7/20/2021 11:43:08 AM,,True,True,41.06453323,-79.28291321,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
5,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+32.95,0+20,,7/20/2021 11:43:11 AM,,,,,-1.749,-1.085,,7/20/2021 11:43:11 AM,7/20/2021 11:43:12 AM,,True,True,41.06453705,-79.28289032,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
6,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+41.39,0+30,,7/20/2021 11:43:47 AM,,,,,-1.846,-1.031,,7/20/2021 11:43:47 AM,7/20/2021 11:43:48 AM,,True,True,41.06453705,-79.2828598,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
7,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+41.58,0+25,,7/20/2021 11:43:15 AM,,,,,-1.815,-1.061,,7/20/2021 11:43:15 AM,7/20/2021 11:43:16 AM,,True,True,41.06454086,-79.2828598,LM,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
8,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+48.30,0+35,,7/20/2021 11:43:51 AM,,,,,-1.784,-1.031,,7/20/2021 11:43:51 AM,7/20/2021 11:43:48 AM,,True,True,41.06454849,-79.28283691,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
9,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+50.41,0+40,,7/20/2021 11:43:51 AM,,,,,-1.784,-0.989,,7/20/2021 11:43:51 AM,7/20/2021 11:43:52 AM,,True,True,41.06454849,-79.28282928,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
10,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+56.74,0+45,,7/20/2021 11:43:55 AM,,,,,-1.606,-0.989,,7/20/2021 11:43:55 AM,7/20/2021 11:43:52 AM,,True,True,41.06454849,-79.2828064,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
11,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+61.16,0+50,,7/20/2021 11:43:55 AM,,,,,-1.606,-0.934,,7/20/2021 11:43:55 AM,7/20/2021 11:43:56 AM,,True,True,41.06455231,-79.28279114,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
12,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+65.57,0+55,,7/20/2021 11:43:55 AM,,,,,-1.606,-0.934,,7/20/2021 11:43:55 AM,7/20/2021 11:43:56 AM,,True,True,41.06455612,-79.28277588,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
13,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+72.10,0+60,,7/20/2021 11:44:07 AM,,,,,-1.864,-0.986,,7/20/2021 11:44:07 AM,7/20/2021 11:44:08 AM,,True,True,41.06455994,-79.28275299,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
14,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+74.40,0+65,,7/20/2021 11:44:11 AM,,,,,-2.068,-0.988,,7/20/2021 11:44:11 AM,7/20/2021 11:44:12 AM,,True,True,41.06456375,-79.28274536,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
15,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+80.92,0+70,,7/20/2021 11:44:11 AM,,,,,-2.068,-0.988,,7/20/2021 11:44:11 AM,7/20/2021 11:44:12 AM,,True,True,41.06456757,-79.28272247,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
16,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+85.34,0+75,,7/20/2021 11:44:15 AM,,,,,-2.890,-0.988,,7/20/2021 11:44:15 AM,7/20/2021 11:44:12 AM,,True,True,41.06457138,-79.28270721,,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
17,134,2021 TC Line 134 CIS & Troubleshooting,2021-07-20,3102+92.05,0+80,,7/20/2021 11:44:15 AM,,,,,-2.890,-1.196,,7/20/2021 11:44:15 AM,7/20/2021 11:44:16 AM,,True,True,41.06457901,-79.28268433,CONFIRMED,134,CHRIS WRIGHTSTONE,LSC,3,1,CIS,CISOnOff,5
